msisdn,gender,age
subscribers_00278,MALE,62
subscribers_00279,MALE,85
subscribers_00280,FEMALE,78
subscribers_00281,MALE,21
subscribers_00282,FEMALE,20
subscribers_00283,MALE,40
subscribers_00284,FEMALE,84
subscribers_00285,FEMALE,30
subscribers_00286,FEMALE,26
subscribers_00287,MALE,80
subscribers_00288,MALE,78
subscribers_00289,MALE,37
subscribers_00290,FEMALE,51
subscribers_00291,MALE,67
subscribers_00292,FEMALE,33
subscribers_00293,MALE,67
subscribers_00294,FEMALE,27
subscribers_00295,MALE,67
subscribers_00296,FEMALE,30
subscribers_00297,MALE,17
subscribers_00298,MALE,18
subscribers_00299,MALE,33
subscribers_00300,FEMALE,47
subscribers_00301,MALE,56
subscribers_00302,MALE,54
subscribers_00303,FEMALE,62
subscribers_00304,FEMALE,16
subscribers_00305,FEMALE,22
subscribers_00306,MALE,60
subscribers_00307,FEMALE,42
subscribers_00308,FEMALE,31
subscribers_00309,FEMALE,61
subscribers_00310,FEMALE,43
subscribers_00311,MALE,42
subscribers_00312,MALE,53
subscribers_00313,MALE,71
subscribers_00314,MALE,36
subscribers_00315,FEMALE,76
subscribers_00316,FEMALE,65
subscribers_00317,FEMALE,19
subscribers_00318,FEMALE,74
subscribers_00319,FEMALE,29
subscribers_00320,FEMALE,76
subscribers_00321,FEMALE,35
subscribers_00322,FEMALE,27
subscribers_00323,FEMALE,44
subscribers_00324,FEMALE,64
subscribers_00325,MALE,63
subscribers_00326,MALE,31
subscribers_00327,FEMALE,56
subscribers_00328,MALE,37
subscribers_00329,MALE,60
subscribers_00330,FEMALE,63
subscribers_00331,MALE,21
subscribers_00332,MALE,74
subscribers_00333,FEMALE,47
subscribers_00334,FEMALE,59
subscribers_00335,FEMALE,66
subscribers_00336,FEMALE,70
subscribers_00337,MALE,83
subscribers_00338,FEMALE,45
subscribers_00339,MALE,29
subscribers_00340,FEMALE,58
subscribers_00341,MALE,39
subscribers_00342,FEMALE,61
subscribers_00343,MALE,73
subscribers_00344,FEMALE,35
subscribers_00345,MALE,42
subscribers_00346,MALE,62
subscribers_00347,FEMALE,41
subscribers_00348,MALE,80
subscribers_00349,FEMALE,20
subscribers_00350,FEMALE,54
subscribers_00351,MALE,84
subscribers_00352,FEMALE,71
subscribers_00353,MALE,20
subscribers_00354,FEMALE,45
subscribers_00355,MALE,68
subscribers_00356,FEMALE,26
subscribers_00357,FEMALE,71
subscribers_00358,FEMALE,39
subscribers_00359,MALE,59
subscribers_00360,FEMALE,39
subscribers_00361,MALE,23
subscribers_00362,FEMALE,68
subscribers_00363,MALE,67
subscribers_00364,MALE,59
subscribers_00365,MALE,62
subscribers_00366,MALE,77
subscribers_00367,MALE,26
subscribers_00368,MALE,37
subscribers_00369,FEMALE,80
subscribers_00370,FEMALE,38
subscribers_00371,FEMALE,19
subscribers_00372,MALE,17
subscribers_00373,FEMALE,71
subscribers_00374,MALE,30
subscribers_00375,FEMALE,78
subscribers_00376,MALE,36
subscribers_00377,MALE,63
subscribers_00378,FEMALE,67
subscribers_00379,MALE,31
subscribers_00380,FEMALE,78
subscribers_00381,MALE,27
subscribers_00382,MALE,68
subscribers_00383,MALE,64
subscribers_00384,FEMALE,46
subscribers_00385,MALE,35
subscribers_00386,FEMALE,59
subscribers_00387,MALE,57
subscribers_00388,MALE,73
subscribers_00389,FEMALE,81
subscribers_00390,MALE,73
subscribers_00391,MALE,54
subscribers_00392,MALE,75
subscribers_00393,MALE,69
subscribers_00394,FEMALE,57
subscribers_00395,FEMALE,45
subscribers_00396,MALE,26
subscribers_00397,MALE,77
subscribers_00398,MALE,34
subscribers_00399,FEMALE,61
subscribers_00400,MALE,75
subscribers_00401,MALE,77
subscribers_00402,MALE,42
subscribers_00403,MALE,64
subscribers_00404,FEMALE,16
subscribers_00405,MALE,72
subscribers_00406,MALE,40
subscribers_00407,MALE,39
subscribers_00408,FEMALE,24
subscribers_00409,FEMALE,68
subscribers_00410,FEMALE,25
subscribers_00411,MALE,79
subscribers_00412,FEMALE,28
subscribers_00413,MALE,43
subscribers_00414,FEMALE,25
subscribers_00415,MALE,31
subscribers_00416,MALE,31
subscribers_00417,MALE,42
subscribers_00418,FEMALE,55
subscribers_00419,FEMALE,35
subscribers_00420,MALE,68
subscribers_00421,FEMALE,34
subscribers_00422,MALE,75
subscribers_00423,MALE,30
subscribers_00424,FEMALE,66
subscribers_00425,FEMALE,31
subscribers_00426,FEMALE,80
subscribers_00427,FEMALE,48
subscribers_00428,MALE,51
subscribers_00429,FEMALE,74
subscribers_00430,MALE,75
subscribers_00431,MALE,78
subscribers_00432,MALE,62
subscribers_00433,MALE,76
subscribers_00434,MALE,63
subscribers_00435,FEMALE,83
subscribers_00436,MALE,73
subscribers_00437,FEMALE,29
subscribers_00438,MALE,74
subscribers_00439,FEMALE,23
subscribers_00440,MALE,41
subscribers_00441,FEMALE,16
subscribers_00442,FEMALE,20
subscribers_00443,MALE,39
subscribers_00444,FEMALE,79
subscribers_00445,MALE,26
subscribers_00446,FEMALE,64
subscribers_00447,FEMALE,26
subscribers_00448,FEMALE,74
subscribers_00449,FEMALE,69
subscribers_00450,FEMALE,82
subscribers_00451,MALE,36
subscribers_00452,FEMALE,33
subscribers_00453,FEMALE,42
subscribers_00454,FEMALE,60
subscribers_00455,FEMALE,54
subscribers_00456,FEMALE,36
subscribers_00457,MALE,48
subscribers_00458,MALE,82
subscribers_00459,MALE,17
subscribers_00460,MALE,42
subscribers_00461,MALE,61
subscribers_00462,MALE,78
subscribers_00463,FEMALE,30
subscribers_00464,MALE,78
subscribers_00465,MALE,62
subscribers_00466,MALE,66
subscribers_00467,FEMALE,81
subscribers_00468,MALE,33
subscribers_00469,MALE,74
subscribers_00470,FEMALE,43
subscribers_00471,MALE,36
subscribers_00472,FEMALE,42
subscribers_00473,MALE,61
subscribers_00474,FEMALE,34
subscribers_00475,FEMALE,64
subscribers_00476,FEMALE,44
subscribers_00477,FEMALE,37
subscribers_00478,MALE,58
subscribers_00479,MALE,18
subscribers_00480,FEMALE,56
subscribers_00481,MALE,29
subscribers_00482,MALE,18
subscribers_00483,FEMALE,59
subscribers_00484,MALE,51
subscribers_00485,MALE,35
subscribers_00486,FEMALE,78
subscribers_00487,FEMALE,44
subscribers_00488,MALE,49
subscribers_00489,FEMALE,23
subscribers_00490,FEMALE,20
subscribers_00491,FEMALE,49
subscribers_00492,MALE,21
subscribers_00493,FEMALE,39
subscribers_00494,MALE,79
subscribers_00495,MALE,38
subscribers_00496,FEMALE,72
subscribers_00497,MALE,82
subscribers_00498,MALE,53
subscribers_00499,FEMALE,26
subscribers_00500,MALE,80
subscribers_00501,MALE,72
subscribers_00502,FEMALE,38
subscribers_00503,FEMALE,51
subscribers_00504,FEMALE,38
subscribers_00505,FEMALE,80
subscribers_00506,MALE,49
subscribers_00507,MALE,30
subscribers_00508,MALE,31
subscribers_00509,MALE,49
subscribers_00510,FEMALE,19
subscribers_00511,MALE,40
subscribers_00512,MALE,44
subscribers_00513,FEMALE,31
subscribers_00514,MALE,46
subscribers_00515,MALE,41
subscribers_00516,MALE,45
subscribers_00517,FEMALE,30
subscribers_00518,MALE,24
subscribers_00519,FEMALE,66
subscribers_00520,MALE,82
subscribers_00521,FEMALE,62
subscribers_00522,MALE,49
subscribers_00523,FEMALE,39
subscribers_00524,MALE,74
subscribers_00525,FEMALE,78
subscribers_00526,MALE,44
subscribers_00527,FEMALE,64
subscribers_00528,MALE,21
subscribers_00529,MALE,29
subscribers_00530,FEMALE,26
subscribers_00531,FEMALE,28
subscribers_00532,MALE,28
subscribers_00533,MALE,72
subscribers_00534,FEMALE,53
subscribers_00535,FEMALE,34
subscribers_00536,MALE,66
subscribers_00537,FEMALE,68
subscribers_00538,MALE,16
subscribers_00539,FEMALE,35
subscribers_00540,MALE,47
subscribers_00541,FEMALE,68
subscribers_00542,FEMALE,27
subscribers_00543,FEMALE,82
subscribers_00544,MALE,19
subscribers_00545,FEMALE,54
subscribers_00546,FEMALE,49
subscribers_00547,FEMALE,39
subscribers_00548,FEMALE,71
subscribers_00549,MALE,38
subscribers_00550,FEMALE,63
subscribers_00551,MALE,69
subscribers_00552,FEMALE,69
subscribers_00553,FEMALE,38
subscribers_00554,FEMALE,38
subscribers_00555,MALE,80
subscribers_00556,MALE,17
subscribers_00557,MALE,57
subscribers_00558,MALE,21
subscribers_00559,FEMALE,83
subscribers_00560,MALE,48
subscribers_00561,FEMALE,60
subscribers_00562,MALE,62
subscribers_00563,MALE,21
subscribers_00564,MALE,66
subscribers_00565,MALE,74
subscribers_00566,FEMALE,21
subscribers_00567,MALE,67
subscribers_00568,FEMALE,84
subscribers_00569,MALE,78
subscribers_00570,MALE,35
subscribers_00571,MALE,45
subscribers_00572,FEMALE,79
subscribers_00573,MALE,64
subscribers_00574,FEMALE,42
subscribers_00575,MALE,80
subscribers_00576,FEMALE,55
subscribers_00577,MALE,32
subscribers_00578,MALE,34
subscribers_00579,MALE,18
subscribers_00580,FEMALE,38
subscribers_00581,MALE,22
subscribers_00582,FEMALE,76
subscribers_00583,FEMALE,54
subscribers_00584,MALE,68
subscribers_00585,FEMALE,46
subscribers_00586,FEMALE,49
subscribers_00587,MALE,62
subscribers_00588,FEMALE,60
subscribers_00589,FEMALE,30
subscribers_00590,FEMALE,71
subscribers_00591,MALE,36
subscribers_00592,FEMALE,33
subscribers_00593,MALE,61
subscribers_00594,FEMALE,80
subscribers_00595,FEMALE,82
subscribers_00596,FEMALE,46
subscribers_00597,FEMALE,77
subscribers_00598,FEMALE,23
subscribers_00599,MALE,44
subscribers_00600,MALE,54
subscribers_00601,MALE,31
subscribers_00602,MALE,25
subscribers_00603,MALE,81
subscribers_00604,MALE,16
subscribers_00605,MALE,21
subscribers_00606,FEMALE,38
subscribers_00607,FEMALE,48
subscribers_00608,MALE,41
subscribers_00609,MALE,51
subscribers_00610,FEMALE,25
subscribers_00611,FEMALE,24
subscribers_00612,MALE,84
subscribers_00613,MALE,40
subscribers_00614,FEMALE,27
subscribers_00615,FEMALE,47
subscribers_00616,FEMALE,70
subscribers_00617,FEMALE,21
subscribers_00618,FEMALE,76
subscribers_00619,MALE,25
subscribers_00620,MALE,52
subscribers_00621,FEMALE,38
subscribers_00622,FEMALE,70
subscribers_00623,FEMALE,59
subscribers_00624,FEMALE,19
subscribers_00625,FEMALE,64
subscribers_00626,MALE,58
subscribers_00627,FEMALE,16
subscribers_00628,FEMALE,54
subscribers_00629,FEMALE,42
subscribers_00630,FEMALE,60
subscribers_00631,MALE,16
subscribers_00632,FEMALE,22
subscribers_00633,MALE,17
subscribers_00634,FEMALE,50
subscribers_00635,FEMALE,34
subscribers_00636,FEMALE,16
subscribers_00637,FEMALE,66
subscribers_00638,MALE,40
subscribers_00639,MALE,61
subscribers_00640,FEMALE,83
subscribers_00641,FEMALE,57
subscribers_00642,MALE,68
subscribers_00643,FEMALE,57
subscribers_00644,FEMALE,34
subscribers_00645,MALE,23
subscribers_00646,MALE,50
subscribers_00647,FEMALE,52
subscribers_00648,MALE,67
subscribers_00649,FEMALE,70
subscribers_00650,FEMALE,19
subscribers_00651,FEMALE,65
subscribers_00652,FEMALE,51
subscribers_00653,MALE,62
subscribers_00654,FEMALE,16
subscribers_00655,MALE,33
subscribers_00656,MALE,66
subscribers_00657,FEMALE,41
subscribers_00658,MALE,38
subscribers_00659,MALE,26
subscribers_00660,FEMALE,37
subscribers_00661,MALE,30
subscribers_00662,MALE,44
subscribers_00663,MALE,59
subscribers_00664,FEMALE,59
subscribers_00665,FEMALE,24
subscribers_00666,FEMALE,55
subscribers_00667,MALE,17
subscribers_00668,FEMALE,78
subscribers_00669,MALE,39
subscribers_00670,MALE,18
subscribers_00671,MALE,29
subscribers_00672,FEMALE,83
subscribers_00673,MALE,63
subscribers_00674,FEMALE,26
subscribers_00675,FEMALE,30
subscribers_00676,FEMALE,39
subscribers_00677,FEMALE,80
subscribers_00678,FEMALE,24
subscribers_00679,FEMALE,24
subscribers_00680,FEMALE,84
subscribers_00681,MALE,46
subscribers_00682,MALE,54
subscribers_00683,MALE,52
subscribers_00684,MALE,22
subscribers_00685,FEMALE,69
subscribers_00686,MALE,38
subscribers_00687,FEMALE,28
subscribers_00688,MALE,19
subscribers_00689,MALE,81
subscribers_00690,FEMALE,19
subscribers_00691,MALE,72
subscribers_00692,MALE,74
subscribers_00693,FEMALE,82
subscribers_00694,FEMALE,15
subscribers_00695,FEMALE,50
subscribers_00696,FEMALE,16
subscribers_00697,FEMALE,26
subscribers_00698,MALE,48
subscribers_00699,MALE,16
subscribers_00700,MALE,70
subscribers_00701,FEMALE,62
subscribers_00702,FEMALE,27
subscribers_00703,FEMALE,45
subscribers_00704,MALE,71
subscribers_00705,MALE,27
subscribers_00706,MALE,36
subscribers_00707,FEMALE,36
subscribers_00708,FEMALE,36
subscribers_00709,MALE,54
subscribers_00710,FEMALE,74
subscribers_00711,MALE,67
subscribers_00712,FEMALE,54
subscribers_00713,FEMALE,33
subscribers_00714,FEMALE,26
subscribers_00715,FEMALE,83
subscribers_00716,MALE,27
subscribers_00717,FEMALE,48
subscribers_00718,FEMALE,58
subscribers_00719,MALE,79
subscribers_00720,MALE,22
subscribers_00721,MALE,67
subscribers_00722,FEMALE,26
subscribers_00723,FEMALE,19
subscribers_00724,MALE,42
subscribers_00725,MALE,32
subscribers_00726,FEMALE,52
subscribers_00727,FEMALE,18
subscribers_00728,MALE,55
subscribers_00729,MALE,48
subscribers_00730,MALE,60
subscribers_00731,MALE,62
subscribers_00732,MALE,59
subscribers_00733,MALE,82
subscribers_00734,FEMALE,35
subscribers_00735,MALE,55
subscribers_00736,FEMALE,34
subscribers_00737,FEMALE,18
subscribers_00738,MALE,54
subscribers_00739,FEMALE,80
subscribers_00740,FEMALE,48
subscribers_00741,MALE,62
subscribers_00742,MALE,68
subscribers_00743,FEMALE,74
subscribers_00744,MALE,18
subscribers_00745,FEMALE,38
subscribers_00746,FEMALE,59
subscribers_00747,FEMALE,59
subscribers_00748,FEMALE,17
subscribers_00749,MALE,47
subscribers_00750,FEMALE,50
subscribers_00751,MALE,78
subscribers_00752,FEMALE,19
subscribers_00753,MALE,46
subscribers_00754,FEMALE,38
subscribers_00755,FEMALE,51
subscribers_00756,MALE,42
subscribers_00757,MALE,38
subscribers_00758,MALE,24
subscribers_00759,FEMALE,75
subscribers_00760,MALE,42
subscribers_00761,MALE,78
subscribers_00762,FEMALE,68
subscribers_00763,FEMALE,42
subscribers_00764,FEMALE,46
subscribers_00765,FEMALE,69
subscribers_00766,MALE,58
subscribers_00767,FEMALE,24
subscribers_00768,MALE,34
subscribers_00769,FEMALE,74
subscribers_00770,FEMALE,26
subscribers_00771,MALE,43
subscribers_00772,MALE,72
subscribers_00773,FEMALE,27
subscribers_00774,FEMALE,51
subscribers_00775,MALE,79
subscribers_00776,MALE,79
subscribers_00777,MALE,51
subscribers_00778,MALE,34
subscribers_00779,FEMALE,46
subscribers_00780,FEMALE,62
subscribers_00781,FEMALE,40
subscribers_00782,MALE,34
subscribers_00783,FEMALE,75
subscribers_00784,FEMALE,50
subscribers_00785,MALE,42
subscribers_00786,MALE,61
subscribers_00787,MALE,21
subscribers_00788,MALE,23
subscribers_00789,FEMALE,69
subscribers_00790,FEMALE,40
subscribers_00791,FEMALE,47
subscribers_00792,FEMALE,52
subscribers_00793,FEMALE,40
subscribers_00794,FEMALE,52
subscribers_00795,FEMALE,72
subscribers_00796,MALE,37
subscribers_00797,MALE,44
subscribers_00798,FEMALE,57
subscribers_00799,MALE,38
subscribers_00800,FEMALE,57
subscribers_00801,MALE,36
subscribers_00802,FEMALE,61
subscribers_00803,MALE,29
subscribers_00804,MALE,82
subscribers_00805,MALE,39
subscribers_00806,FEMALE,29
subscribers_00807,MALE,31
subscribers_00808,MALE,35
subscribers_00809,FEMALE,19
subscribers_00810,FEMALE,29
subscribers_00811,MALE,21
subscribers_00812,FEMALE,58
subscribers_00813,FEMALE,49
subscribers_00814,MALE,41
subscribers_00815,FEMALE,32
subscribers_00816,MALE,71
subscribers_00817,FEMALE,28
subscribers_00818,FEMALE,28
subscribers_00819,MALE,37
subscribers_00820,FEMALE,60
subscribers_00821,MALE,58
subscribers_00822,MALE,69
subscribers_00823,FEMALE,75
subscribers_00824,FEMALE,31
subscribers_00825,MALE,45
subscribers_00826,FEMALE,63
subscribers_00827,FEMALE,67
subscribers_00828,FEMALE,15
subscribers_00829,FEMALE,50
subscribers_00830,MALE,71
subscribers_00831,MALE,73
subscribers_00832,FEMALE,57
subscribers_00833,FEMALE,66
subscribers_00834,MALE,34
subscribers_00835,FEMALE,24
subscribers_00836,FEMALE,32
subscribers_00837,FEMALE,73
subscribers_00838,MALE,40
subscribers_00839,MALE,34
subscribers_00840,MALE,63
subscribers_00841,FEMALE,45
subscribers_00842,FEMALE,29
subscribers_00843,MALE,19
subscribers_00844,MALE,70
subscribers_00845,FEMALE,45
subscribers_00846,FEMALE,19
subscribers_00847,FEMALE,83
subscribers_00848,FEMALE,29
subscribers_00849,FEMALE,74
subscribers_00850,MALE,84
subscribers_00851,MALE,64
subscribers_00852,FEMALE,61
subscribers_00853,FEMALE,53
subscribers_00854,FEMALE,15
subscribers_00855,MALE,24
subscribers_00856,FEMALE,69
subscribers_00857,MALE,34
subscribers_00858,MALE,68
subscribers_00859,MALE,22
subscribers_00860,FEMALE,38
subscribers_00861,MALE,78
subscribers_00862,FEMALE,30
subscribers_00863,MALE,34
subscribers_00864,FEMALE,25
subscribers_00865,FEMALE,49
subscribers_00866,FEMALE,41
subscribers_00867,MALE,41
subscribers_00868,MALE,28
subscribers_00869,FEMALE,20
subscribers_00870,FEMALE,29
subscribers_00871,FEMALE,83
subscribers_00872,FEMALE,59
subscribers_00873,MALE,79
subscribers_00874,FEMALE,48
subscribers_00875,FEMALE,43
subscribers_00876,MALE,54
subscribers_00877,FEMALE,28
subscribers_00878,MALE,58
subscribers_00879,MALE,68
subscribers_00880,FEMALE,42
subscribers_00881,FEMALE,26
subscribers_00882,FEMALE,61
subscribers_00883,FEMALE,68
subscribers_00884,MALE,79
subscribers_00885,MALE,72
subscribers_00886,MALE,19
subscribers_00887,FEMALE,19
subscribers_00888,FEMALE,44
subscribers_00889,FEMALE,18
subscribers_00890,FEMALE,26
subscribers_00891,MALE,36
subscribers_00892,FEMALE,24
subscribers_00893,MALE,43
subscribers_00894,FEMALE,40
subscribers_00895,FEMALE,21
subscribers_00896,FEMALE,41
subscribers_00897,MALE,41
subscribers_00898,FEMALE,33
subscribers_00899,MALE,79
subscribers_00900,FEMALE,49
subscribers_00901,MALE,38
subscribers_00902,FEMALE,24
subscribers_00903,FEMALE,82
subscribers_00904,FEMALE,23
subscribers_00905,FEMALE,67
subscribers_00906,MALE,54
subscribers_00907,MALE,49
subscribers_00908,MALE,74
subscribers_00909,FEMALE,65
subscribers_00910,MALE,63
subscribers_00911,MALE,54
subscribers_00912,FEMALE,37
subscribers_00913,FEMALE,75
subscribers_00914,MALE,42
subscribers_00915,MALE,40
subscribers_00916,FEMALE,48
subscribers_00917,MALE,44
subscribers_00918,FEMALE,49
subscribers_00919,FEMALE,43
subscribers_00920,MALE,61
subscribers_00921,FEMALE,66
subscribers_00922,MALE,83
subscribers_00923,FEMALE,63
subscribers_00924,FEMALE,27
subscribers_00925,MALE,49
subscribers_00926,MALE,60
subscribers_00927,FEMALE,40
subscribers_00928,FEMALE,26
subscribers_00929,FEMALE,80
