msisdn,age,gender
subscribers_00315,47,male
subscribers_00316,15,female
subscribers_00317,29,female
subscribers_00318,83,male
subscribers_00319,49,male
subscribers_00320,58,female
subscribers_00321,48,female
subscribers_00322,57,female
subscribers_00323,51,male
subscribers_00324,58,male
subscribers_00325,25,male
subscribers_00326,71,female
subscribers_00327,27,male
subscribers_00328,53,female
subscribers_00329,27,female
subscribers_00330,19,female
subscribers_00331,23,male
subscribers_00332,22,female
subscribers_00333,73,female
subscribers_00334,23,male
subscribers_00335,18,male
subscribers_00336,53,female
subscribers_00337,22,female
subscribers_00338,44,female
subscribers_00339,39,male
subscribers_00340,37,male
subscribers_00341,15,female
subscribers_00342,49,female
subscribers_00343,71,female
subscribers_00344,45,female
subscribers_00345,46,male
subscribers_00346,50,male
subscribers_00347,67,male
subscribers_00348,52,female
subscribers_00349,47,male
subscribers_00350,60,female
subscribers_00351,87,male
subscribers_00352,42,male
subscribers_00353,51,female
subscribers_00354,33,female
subscribers_00355,53,male
subscribers_00356,27,male
subscribers_00357,60,female
subscribers_00358,81,female
subscribers_00359,17,male
subscribers_00360,19,male
subscribers_00361,15,female
subscribers_00362,21,male
subscribers_00363,29,female
subscribers_00364,65,male
subscribers_00365,41,male
subscribers_00366,68,female
subscribers_00367,16,female
subscribers_00368,31,female
subscribers_00369,43,male
subscribers_00370,30,female
subscribers_00371,72,female
subscribers_00372,38,male
subscribers_00373,39,female
subscribers_00374,23,female
subscribers_00375,37,male
subscribers_00376,64,female
subscribers_00377,65,male
subscribers_00378,23,female
subscribers_00379,27,female
subscribers_00380,39,female
subscribers_00381,80,female
subscribers_00382,46,female
subscribers_00383,44,female
subscribers_00384,17,male
subscribers_00385,22,female
subscribers_00386,42,male
subscribers_00387,17,male
subscribers_00388,25,male
subscribers_00389,56,male
subscribers_00390,29,male
subscribers_00391,54,female
subscribers_00392,48,male
subscribers_00393,58,male
subscribers_00394,33,male
subscribers_00395,22,male
subscribers_00396,48,female
subscribers_00397,18,female
subscribers_00398,47,male
subscribers_00399,37,female
subscribers_00400,35,female
subscribers_00401,44,female
subscribers_00402,54,male
subscribers_00403,31,male
subscribers_00404,38,female
subscribers_00405,53,female
subscribers_00406,29,female
subscribers_00407,49,female
subscribers_00408,64,female
subscribers_00409,30,male
subscribers_00410,20,male
subscribers_00411,47,female
subscribers_00412,28,female
subscribers_00413,32,male
subscribers_00414,19,male
subscribers_00415,23,male
subscribers_00416,41,male
subscribers_00417,47,female
subscribers_00418,39,female
subscribers_00419,70,male
subscribers_00420,57,female
subscribers_00421,26,female
subscribers_00422,32,male
subscribers_00423,63,female
subscribers_00424,48,male
subscribers_00425,57,female
subscribers_00426,25,male
subscribers_00427,41,female
subscribers_00428,27,male
subscribers_00429,35,male
subscribers_00430,60,male
subscribers_00431,20,male
subscribers_00432,60,male
subscribers_00433,81,male
subscribers_00434,15,female
subscribers_00435,56,male
subscribers_00436,32,male
subscribers_00437,21,female
subscribers_00438,34,male
subscribers_00439,43,male
subscribers_00440,76,male
subscribers_00441,46,female
subscribers_00442,23,male
subscribers_00443,30,male
subscribers_00444,44,female
subscribers_00445,36,male
subscribers_00446,53,female
subscribers_00447,34,male
subscribers_00448,41,male
subscribers_00449,60,female
subscribers_00450,43,male
subscribers_00451,79,female
subscribers_00452,19,male
subscribers_00453,36,female
subscribers_00454,60,male
subscribers_00455,63,male
subscribers_00456,67,female
subscribers_00457,33,female
subscribers_00458,53,female
subscribers_00459,58,male
subscribers_00460,23,male
subscribers_00461,29,female
subscribers_00462,45,male
subscribers_00463,32,female
subscribers_00464,23,male
subscribers_00465,25,female
subscribers_00466,28,female
subscribers_00467,27,male
subscribers_00468,71,female
subscribers_00469,51,male
subscribers_00470,56,female
subscribers_00471,33,female
subscribers_00472,27,female
subscribers_00473,32,male
subscribers_00474,53,male
subscribers_00475,37,female
subscribers_00476,43,male
subscribers_00477,46,female
subscribers_00478,24,male
subscribers_00479,92,male
subscribers_00480,50,female
subscribers_00481,40,male
subscribers_00482,38,female
subscribers_00483,76,male
subscribers_00484,35,female
subscribers_00485,39,male
subscribers_00486,42,male
subscribers_00487,63,female
subscribers_00488,60,female
subscribers_00489,88,male
subscribers_00490,66,male
subscribers_00491,17,male
subscribers_00492,26,male
subscribers_00493,60,female
subscribers_00494,69,male
subscribers_00495,49,male
subscribers_00496,65,male
subscribers_00497,25,male
subscribers_00498,52,male
subscribers_00499,25,female
subscribers_00500,22,male
subscribers_00501,48,female
subscribers_00502,66,male
subscribers_00503,42,male
subscribers_00504,49,male
subscribers_00505,60,male
subscribers_00506,65,female
subscribers_00507,22,female
subscribers_00508,50,female
subscribers_00509,41,female
subscribers_00510,15,female
subscribers_00511,52,female
subscribers_00512,51,male
subscribers_00513,27,female
subscribers_00514,54,male
subscribers_00515,62,female
subscribers_00516,20,female
subscribers_00517,31,male
subscribers_00518,21,female
subscribers_00519,31,female
subscribers_00520,52,female
subscribers_00521,34,female
subscribers_00522,20,female
subscribers_00523,49,female
subscribers_00524,21,female
subscribers_00525,22,male
subscribers_00526,29,male
subscribers_00527,51,female
subscribers_00528,74,male
subscribers_00529,62,female
subscribers_00530,23,female
subscribers_00531,23,male
subscribers_00532,57,female
subscribers_00533,30,male
subscribers_00534,28,male
subscribers_00535,30,male
subscribers_00536,63,female
subscribers_00537,46,male
subscribers_00538,64,male
subscribers_00539,26,male
subscribers_00540,33,male
subscribers_00541,15,male
subscribers_00542,85,male
subscribers_00543,71,male
subscribers_00544,54,female
subscribers_00545,43,female
subscribers_00546,36,male
subscribers_00547,55,male
subscribers_00548,37,male
subscribers_00549,35,male
subscribers_00550,46,female
subscribers_00551,44,female
subscribers_00552,46,male
subscribers_00553,41,female
subscribers_00554,32,female
subscribers_00555,34,male
subscribers_00556,53,female
subscribers_00557,29,male
subscribers_00558,18,female
subscribers_00559,39,male
subscribers_00560,37,female
subscribers_00561,55,female
subscribers_00562,19,male
subscribers_00563,70,female
subscribers_00564,18,male
subscribers_00565,47,male
subscribers_00566,29,female
subscribers_00567,53,male
subscribers_00568,55,female
subscribers_00569,24,female
subscribers_00570,24,male
subscribers_00571,27,female
subscribers_00572,28,female
subscribers_00573,18,female
subscribers_00574,95,female
subscribers_00575,32,male
subscribers_00576,28,female
subscribers_00577,42,female
subscribers_00578,24,male
subscribers_00579,21,female
subscribers_00580,46,female
subscribers_00581,24,male
subscribers_00582,23,female
subscribers_00583,52,male
subscribers_00584,42,male
subscribers_00585,32,male
subscribers_00586,30,female
subscribers_00587,23,female
subscribers_00588,39,male
subscribers_00589,54,male
subscribers_00590,29,female
subscribers_00591,53,male
subscribers_00592,36,male
subscribers_00593,38,male
subscribers_00594,26,female
subscribers_00595,18,male
subscribers_00596,45,female
subscribers_00597,24,male
subscribers_00598,58,female
subscribers_00599,64,female
subscribers_00600,18,female
subscribers_00601,28,male
subscribers_00602,49,female
subscribers_00603,59,male
subscribers_00604,47,female
subscribers_00605,64,female
subscribers_00606,42,male
subscribers_00607,32,male
subscribers_00608,56,female
subscribers_00609,23,male
subscribers_00610,57,female
subscribers_00611,81,male
subscribers_00612,63,female
subscribers_00613,38,male
subscribers_00614,19,male
subscribers_00615,47,male
subscribers_00616,28,female
subscribers_00617,27,male
subscribers_00618,21,male
subscribers_00619,25,female
subscribers_00620,40,male
subscribers_00621,64,female
subscribers_00622,19,female
subscribers_00623,24,male
subscribers_00624,17,female
subscribers_00625,27,female
subscribers_00626,31,female
subscribers_00627,52,female
subscribers_00628,45,male
subscribers_00629,30,male
subscribers_00630,45,male
subscribers_00631,30,male
subscribers_00632,43,female
subscribers_00633,42,male
subscribers_00634,69,male
subscribers_00635,40,male
subscribers_00636,59,male
subscribers_00637,54,female
subscribers_00638,32,female
subscribers_00639,46,female
subscribers_00640,26,female
subscribers_00641,56,male
subscribers_00642,32,female
subscribers_00643,53,female
subscribers_00644,46,female
subscribers_00645,67,male
subscribers_00646,33,male
subscribers_00647,47,female
subscribers_00648,27,female
subscribers_00649,37,female
subscribers_00650,17,female
subscribers_00651,64,male
subscribers_00652,35,female
subscribers_00653,46,female
subscribers_00654,21,male
subscribers_00655,17,male
subscribers_00656,53,male
subscribers_00657,55,female
subscribers_00658,20,female
subscribers_00659,58,male
subscribers_00660,40,female
subscribers_00661,15,male
subscribers_00662,48,male
subscribers_00663,79,male
subscribers_00664,25,female
subscribers_00665,47,female
subscribers_00666,70,male
subscribers_00667,54,female
subscribers_00668,36,female
subscribers_00669,60,male
subscribers_00670,31,male
subscribers_00671,40,female
subscribers_00672,69,male
subscribers_00673,43,male
subscribers_00674,46,male
subscribers_00675,59,female
subscribers_00676,55,female
subscribers_00677,65,male
subscribers_00678,56,female
subscribers_00679,30,female
subscribers_00680,63,female
subscribers_00681,34,female
subscribers_00682,32,female
subscribers_00683,62,female
subscribers_00684,57,female
subscribers_00685,39,male
subscribers_00686,29,male
subscribers_00687,75,female
subscribers_00688,41,male
subscribers_00689,41,female
subscribers_00690,20,female
subscribers_00691,62,female
subscribers_00692,45,male
subscribers_00693,27,female
subscribers_00694,49,female
subscribers_00695,41,female
subscribers_00696,57,female
subscribers_00697,42,female
subscribers_00698,16,female
subscribers_00699,52,female
subscribers_00700,60,male
subscribers_00701,17,female
subscribers_00702,26,female
subscribers_00703,42,male
subscribers_00704,64,female
subscribers_00705,78,female
subscribers_00706,16,male
subscribers_00707,33,male
subscribers_00708,27,male
subscribers_00709,29,female
subscribers_00710,46,male
subscribers_00711,48,male
subscribers_00712,15,female
subscribers_00713,61,female
subscribers_00714,62,male
subscribers_00715,83,female
subscribers_00716,42,male
subscribers_00717,39,female
subscribers_00718,37,male
subscribers_00719,51,male
subscribers_00720,15,male
subscribers_00721,46,male
subscribers_00722,51,female
subscribers_00723,25,female
subscribers_00724,18,male
subscribers_00725,51,male
subscribers_00726,37,male
subscribers_00727,21,female
subscribers_00728,24,male
subscribers_00729,62,male
subscribers_00730,23,male
subscribers_00731,19,male
subscribers_00732,18,female
subscribers_00733,18,male
subscribers_00734,23,female
subscribers_00735,43,male
subscribers_00736,23,male
subscribers_00737,52,male
subscribers_00738,30,male
subscribers_00739,19,female
subscribers_00740,61,female
subscribers_00741,23,male
subscribers_00742,16,male
subscribers_00743,65,male
subscribers_00744,50,female
subscribers_00745,69,female
subscribers_00746,28,male
subscribers_00747,15,male
subscribers_00748,58,male
subscribers_00749,15,female
subscribers_00750,54,male
subscribers_00751,65,male
subscribers_00752,24,male
subscribers_00753,25,male
subscribers_00754,63,male
subscribers_00755,48,female
subscribers_00756,67,male
subscribers_00757,27,male
subscribers_00758,28,female
subscribers_00759,16,male
subscribers_00760,54,male
subscribers_00761,60,female
subscribers_00762,20,male
subscribers_00763,74,male
subscribers_00764,41,female
subscribers_00765,52,female
subscribers_00766,61,male
subscribers_00767,16,male
subscribers_00768,48,female
subscribers_00769,49,female
subscribers_00770,65,female
subscribers_00771,42,female
subscribers_00772,42,female
subscribers_00773,50,male
subscribers_00774,68,male
subscribers_00775,82,female
subscribers_00776,47,male
subscribers_00777,18,female
subscribers_00778,61,male
subscribers_00779,48,male
subscribers_00780,38,female
subscribers_00781,24,female
subscribers_00782,69,male
subscribers_00783,66,female
subscribers_00784,74,female
subscribers_00785,76,male
subscribers_00786,60,male
subscribers_00787,45,male
subscribers_00788,46,male
subscribers_00789,24,male
subscribers_00790,40,male
subscribers_00791,16,male
subscribers_00792,43,male
subscribers_00793,39,male
subscribers_00794,15,male
subscribers_00795,23,male
subscribers_00796,44,male
subscribers_00797,34,male
subscribers_00798,18,male
subscribers_00799,63,male
subscribers_00800,75,male
subscribers_00801,18,female
subscribers_00802,24,male
subscribers_00803,30,male
subscribers_00804,81,male
subscribers_00805,28,male
subscribers_00806,25,female
subscribers_00807,24,male
subscribers_00808,30,male
subscribers_00809,27,male
subscribers_00810,21,male
subscribers_00811,40,male
subscribers_00812,22,female
subscribers_00813,37,female
subscribers_00814,58,male
subscribers_00815,28,male
subscribers_00816,39,male
subscribers_00817,58,female
subscribers_00818,68,female
subscribers_00819,28,male
subscribers_00820,39,male
subscribers_00821,63,female
subscribers_00822,35,female
subscribers_00823,46,male
subscribers_00824,17,male
subscribers_00825,58,male
subscribers_00826,58,male
subscribers_00827,19,male
subscribers_00828,69,female
subscribers_00829,41,male
subscribers_00830,69,male
subscribers_00831,83,male
subscribers_00832,41,female
subscribers_00833,20,female
subscribers_00834,78,male
subscribers_00835,64,female
subscribers_00836,43,female
subscribers_00837,25,male
subscribers_00838,46,male
subscribers_00839,43,female
subscribers_00840,64,male
subscribers_00841,51,female
subscribers_00842,31,male
subscribers_00843,56,female
subscribers_00844,33,male
subscribers_00845,49,male
subscribers_00846,20,female
subscribers_00847,24,male
subscribers_00848,21,female
subscribers_00849,66,female
subscribers_00850,17,male
subscribers_00851,42,male
subscribers_00852,67,female
subscribers_00853,64,male
subscribers_00854,63,female
subscribers_00855,46,female
subscribers_00856,33,female
subscribers_00857,29,male
subscribers_00858,58,female
subscribers_00859,28,male
subscribers_00860,58,female
subscribers_00861,31,male
subscribers_00862,33,male
subscribers_00863,80,female
subscribers_00864,26,male
subscribers_00865,15,female
subscribers_00866,57,male
subscribers_00867,27,male
subscribers_00868,26,male
subscribers_00869,56,male
subscribers_00870,25,female
subscribers_00871,15,male
subscribers_00872,21,male
subscribers_00873,50,female
subscribers_00874,46,female
subscribers_00875,16,male
subscribers_00876,34,male
subscribers_00877,45,female
subscribers_00878,35,female
subscribers_00879,52,female
subscribers_00880,20,male
subscribers_00881,38,female
subscribers_00882,34,male
subscribers_00883,63,female
subscribers_00884,29,male
subscribers_00885,37,female
subscribers_00886,51,female
subscribers_00887,28,female
subscribers_00888,37,male
subscribers_00889,17,female
subscribers_00890,21,male
subscribers_00891,69,male
subscribers_00892,64,female
subscribers_00893,36,male
subscribers_00894,45,female
subscribers_00895,27,male
subscribers_00896,57,male
subscribers_00897,27,female
subscribers_00898,48,female
subscribers_00899,53,male
subscribers_00900,28,female
subscribers_00901,23,male
subscribers_00902,47,male
subscribers_00903,66,male
subscribers_00904,47,female
subscribers_00905,40,male
subscribers_00906,33,male
subscribers_00907,35,male
subscribers_00908,77,female
subscribers_00909,69,male
subscribers_00910,19,male
subscribers_00911,15,male
subscribers_00912,62,female
subscribers_00913,39,male
subscribers_00914,66,male
subscribers_00915,57,male
subscribers_00916,63,male
subscribers_00917,16,male
subscribers_00918,44,female
subscribers_00919,57,male
subscribers_00920,62,male
subscribers_00921,57,female
subscribers_00922,18,male
subscribers_00923,22,female
subscribers_00924,65,female
subscribers_00925,24,female
subscribers_00926,41,male
subscribers_00927,34,male
subscribers_00928,55,male
subscribers_00929,23,male
subscribers_00930,20,female
subscribers_00931,24,male
subscribers_00932,41,male
subscribers_00933,34,female
subscribers_00934,58,male
subscribers_00935,41,female
subscribers_00936,65,male
subscribers_00937,45,male
subscribers_00938,34,male
subscribers_00939,17,male
subscribers_00940,38,male
subscribers_00941,38,male
subscribers_00942,69,female
subscribers_00943,25,female
subscribers_00944,64,male
subscribers_00945,45,female
subscribers_00946,23,female
subscribers_00947,32,male
subscribers_00948,34,female
subscribers_00949,39,female
subscribers_00950,23,female
subscribers_00951,35,male
subscribers_00952,15,female
subscribers_00953,57,female
subscribers_00954,53,female
subscribers_00955,34,female
subscribers_00956,29,female
subscribers_00957,62,female
subscribers_00958,62,female
subscribers_00959,35,male
subscribers_00960,20,female
subscribers_00961,79,male
subscribers_00962,48,male
subscribers_00963,24,male
subscribers_00964,41,male
subscribers_00965,33,male
subscribers_00966,51,male
subscribers_00967,47,male
subscribers_00968,23,female
subscribers_00969,55,female
subscribers_00970,64,male
subscribers_00971,54,female
subscribers_00972,45,male
subscribers_00973,76,male
subscribers_00974,70,male
subscribers_00975,44,male
subscribers_00976,65,female
subscribers_00977,60,male
subscribers_00978,40,male
subscribers_00979,27,female
subscribers_00980,29,male
subscribers_00981,33,male
subscribers_00982,23,male
subscribers_00983,55,female
subscribers_00984,58,female
subscribers_00985,71,male
subscribers_00986,52,female
subscribers_00987,28,male
subscribers_00988,29,female
subscribers_00989,30,female
subscribers_00990,43,female
subscribers_00991,19,male
subscribers_00992,26,male
subscribers_00993,16,male
subscribers_00994,59,female
subscribers_00995,22,male
subscribers_00996,57,male
subscribers_00997,43,female
subscribers_00998,26,female
subscribers_00999,24,male
subscribers_01000,42,male
subscribers_01001,32,male
subscribers_01002,71,male
subscribers_01003,38,male
subscribers_01004,18,female
subscribers_01005,20,male
subscribers_01006,15,male
subscribers_01007,65,female
subscribers_01008,19,female
subscribers_01009,68,male
subscribers_01010,28,male
subscribers_01011,25,female
subscribers_01012,23,female
subscribers_01013,23,male
subscribers_01014,33,male
subscribers_01015,69,male
subscribers_01016,49,male
subscribers_01017,55,female
subscribers_01018,30,male
subscribers_01019,69,female
subscribers_01020,30,male
subscribers_01021,51,male
subscribers_01022,20,female
subscribers_01023,28,male
subscribers_01024,50,male
subscribers_01025,55,male
subscribers_01026,55,male
subscribers_01027,31,female
subscribers_01028,49,female
subscribers_01029,18,male
subscribers_01030,60,female
subscribers_01031,21,male
subscribers_01032,37,female
subscribers_01033,56,female
subscribers_01034,25,male
subscribers_01035,70,male
subscribers_01036,48,male
subscribers_01037,62,female
subscribers_01038,23,male
subscribers_01039,39,female
subscribers_01040,54,male
subscribers_01041,21,male
subscribers_01042,55,female
subscribers_01043,17,male
subscribers_01044,59,male
subscribers_01045,61,male
subscribers_01046,62,male
subscribers_01047,30,female
subscribers_01048,29,male
subscribers_01049,57,male
subscribers_01050,56,male
subscribers_01051,30,male
subscribers_01052,71,male
subscribers_01053,25,female
subscribers_01054,15,female
subscribers_01055,17,female
subscribers_01056,17,male
subscribers_01057,20,female
subscribers_01058,52,female
subscribers_01059,37,male
subscribers_01060,29,male
subscribers_01061,51,male
subscribers_01062,57,female
subscribers_01063,36,male
subscribers_01064,47,male
subscribers_01065,30,female
subscribers_01066,22,male
subscribers_01067,42,female
subscribers_01068,25,female
subscribers_01069,60,male
subscribers_01070,26,male
subscribers_01071,41,female
subscribers_01072,51,female
subscribers_01073,52,male
subscribers_01074,29,female
subscribers_01075,27,female
subscribers_01076,37,male
subscribers_01077,15,male
subscribers_01078,58,male
subscribers_01079,22,female
subscribers_01080,26,female
subscribers_01081,33,male
subscribers_01082,27,male
subscribers_01083,16,male
subscribers_01084,20,male
subscribers_01085,54,male
subscribers_01086,27,male
subscribers_01087,30,male
subscribers_01088,20,male
subscribers_01089,36,male
subscribers_01090,23,male
subscribers_01091,21,female
subscribers_01092,41,male
subscribers_01093,23,female
subscribers_01094,55,female
subscribers_01095,65,male
subscribers_01096,39,female
subscribers_01097,58,male
subscribers_01098,62,male
subscribers_01099,16,female
subscribers_01100,36,female
subscribers_01101,28,male
subscribers_01102,83,male
subscribers_01103,21,male
subscribers_01104,70,female
subscribers_01105,22,male
subscribers_01106,47,male
subscribers_01107,35,female
subscribers_01108,50,female
subscribers_01109,18,female
subscribers_01110,55,male
subscribers_01111,59,female
subscribers_01112,55,female
subscribers_01113,65,male
subscribers_01114,76,male
subscribers_01115,40,female
subscribers_01116,55,female
subscribers_01117,46,male
subscribers_01118,47,male
subscribers_01119,37,male
subscribers_01120,19,female
subscribers_01121,65,female
subscribers_01122,41,male
subscribers_01123,31,male
subscribers_01124,45,male
subscribers_01125,52,female
subscribers_01126,21,male
subscribers_01127,47,male
subscribers_01128,64,male
subscribers_01129,47,male
subscribers_01130,22,male
subscribers_01131,44,female
subscribers_01132,57,female
subscribers_01133,18,female
subscribers_01134,22,female
subscribers_01135,55,female
subscribers_01136,22,male
subscribers_01137,15,female
subscribers_01138,64,male
subscribers_01139,52,female
subscribers_01140,53,male
subscribers_01141,45,male
subscribers_01142,15,female
subscribers_01143,42,male
subscribers_01144,15,male
subscribers_01145,46,female
subscribers_01146,23,female
subscribers_01147,32,male
subscribers_01148,59,male
subscribers_01149,44,male
subscribers_01150,20,female
subscribers_01151,64,male
subscribers_01152,24,male
subscribers_01153,27,male
subscribers_01154,30,male
subscribers_01155,30,male
subscribers_01156,53,male
subscribers_01157,18,female
subscribers_01158,16,male
subscribers_01159,47,female
subscribers_01160,23,male
subscribers_01161,46,male
subscribers_01162,40,female
subscribers_01163,26,male
subscribers_01164,64,male
