msisdn,datetime,cell_id,latitude,longitude,data_type,service
subscribers_00000,9/23/2025 22:41,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/24/2025 7:15,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/24/2025 11:16,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/24/2025 14:03,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/24/2025 14:34,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/24/2025 16:47,21168,-1.3269,36.8502,CDR,2G
subscribers_00000,9/24/2025 16:56,21168,-1.3269,36.8502,CDR,2G
subscribers_00000,9/24/2025 19:42,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/24/2025 19:59,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/24/2025 21:51,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/24/2025 23:00,42233,-1.2903,36.8429,IPDR,4G
subscribers_00000,9/25/2025 0:10,42233,-1.2903,36.8429,CDR,4G
subscribers_00000,9/25/2025 2:02,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/25/2025 3:44,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/25/2025 6:03,17447,-1.2692,36.8301,CDR,2G
subscribers_00000,9/25/2025 9:23,15261,-1.2824,36.8214,CDR,2G
subscribers_00000,9/25/2025 10:55,15261,-1.2824,36.8214,CDR,2G
subscribers_00000,9/25/2025 10:57,15261,-1.2824,36.8214,IPDR,2G
subscribers_00000,9/25/2025 14:43,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/25/2025 15:47,36791,-1.2865,36.9521,CDR,2G
subscribers_00000,9/25/2025 16:01,36791,-1.2865,36.9521,CDR,2G
subscribers_00000,9/25/2025 18:16,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/25/2025 20:02,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/25/2025 20:47,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/25/2025 20:49,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/25/2025 21:00,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/26/2025 7:09,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/26/2025 10:08,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/26/2025 11:55,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/26/2025 12:01,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/26/2025 13:28,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/26/2025 13:34,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/26/2025 13:53,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/26/2025 15:36,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/26/2025 15:41,18190,-1.3285,36.8339,CDR,2G
subscribers_00000,9/26/2025 15:43,20329,-1.324,36.8456,CDR,2G
subscribers_00000,9/26/2025 17:20,21168,-1.3269,36.8502,CDR,2G
subscribers_00000,9/26/2025 19:19,21168,-1.3269,36.8502,CDR,2G
subscribers_00000,9/26/2025 19:51,21168,-1.3269,36.8502,CDR,2G
subscribers_00000,9/27/2025 6:12,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/27/2025 10:44,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/27/2025 11:36,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/27/2025 16:14,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/27/2025 18:05,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/27/2025 19:34,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/28/2025 2:43,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/28/2025 4:56,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/28/2025 8:11,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/28/2025 9:09,2508,-1.2301,36.6674,CDR,2G
subscribers_00000,9/28/2025 10:37,15261,-1.2824,36.8214,CDR,2G
subscribers_00000,9/28/2025 11:36,15261,-1.2824,36.8214,CDR,2G
subscribers_00000,9/28/2025 13:29,15261,-1.2824,36.8214,CDR,2G
subscribers_00000,9/28/2025 14:19,21168,-1.3269,36.8502,CDR,2G
subscribers_00000,9/28/2025 15:34,21168,-1.3269,36.8502,CDR,2G
subscribers_00000,9/28/2025 15:56,30683,-1.2182,36.8973,CDR,2G
subscribers_00000,9/28/2025 16:22,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/28/2025 19:16,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/28/2025 19:38,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/28/2025 20:22,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/28/2025 20:24,18337,-1.2714,36.8347,CDR,2G
subscribers_00000,9/28/2025 20:54,18337,-1.2714,36.8347,CDR,2G
subscribers_00001,9/22/2025 2:24,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/22/2025 6:55,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/22/2025 8:08,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/22/2025 8:41,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/22/2025 10:43,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/22/2025 13:36,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/22/2025 14:57,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/22/2025 15:00,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/22/2025 15:58,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/22/2025 16:56,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/22/2025 17:00,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/22/2025 19:41,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/22/2025 22:05,28260,-1.3323,36.8874,CDR,2G
subscribers_00001,9/22/2025 23:22,28260,-1.3323,36.8874,CDR,2G
subscribers_00001,9/23/2025 5:48,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/23/2025 8:02,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/23/2025 9:54,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/23/2025 13:01,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/23/2025 13:06,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/23/2025 14:27,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/23/2025 16:54,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/23/2025 16:59,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/23/2025 17:57,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/23/2025 19:14,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/23/2025 20:54,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/24/2025 0:17,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/24/2025 6:19,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/24/2025 7:40,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/24/2025 8:28,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/24/2025 11:03,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/24/2025 13:08,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/24/2025 15:00,2463,-1.2466,36.6671,CDR,2G
subscribers_00001,9/24/2025 15:55,2463,-1.2466,36.6671,CDR,2G
subscribers_00001,9/24/2025 16:47,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/24/2025 17:40,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/24/2025 17:42,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/24/2025 17:46,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/24/2025 20:51,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/24/2025 22:10,12690,-1.228,36.8063,CDR,2G
subscribers_00001,9/25/2025 7:13,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/25/2025 9:41,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/25/2025 11:08,26694,-1.2454,36.8821,CDR,2G
subscribers_00001,9/25/2025 11:33,7885,-1.2149,36.7546,CDR,2G
subscribers_00001,9/25/2025 11:39,7885,-1.2149,36.7546,CDR,2G
subscribers_00001,9/25/2025 11:45,7885,-1.2149,36.7546,CDR,2G
subscribers_00001,9/25/2025 11:55,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/25/2025 14:25,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/25/2025 15:11,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/25/2025 18:32,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/25/2025 21:13,38231,-1.4735,36.9703,CDR,2G
subscribers_00001,9/25/2025 21:30,38231,-1.4735,36.9703,CDR,2G
subscribers_00001,9/25/2025 21:32,38231,-1.4735,36.9703,CDR,2G
subscribers_00001,9/25/2025 21:39,38231,-1.4735,36.9703,CDR,2G
subscribers_00001,9/25/2025 22:20,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/25/2025 22:35,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/26/2025 0:43,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/26/2025 8:38,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/26/2025 10:25,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/26/2025 13:09,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/26/2025 13:57,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/26/2025 14:02,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/26/2025 14:09,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/26/2025 17:43,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/26/2025 17:45,21164,-1.2638,36.8501,CDR,2G
subscribers_00001,9/26/2025 20:32,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/26/2025 23:56,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/27/2025 4:01,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/27/2025 6:29,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/27/2025 10:13,15427,-1.2596,36.822,CDR,2G
subscribers_00001,9/27/2025 12:41,15427,-1.2596,36.822,CDR,2G
subscribers_00001,9/27/2025 15:08,15427,-1.2596,36.822,CDR,2G
subscribers_00001,9/27/2025 18:01,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/27/2025 19:01,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/27/2025 22:52,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/27/2025 22:55,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/27/2025 23:03,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/28/2025 4:34,24157,-1.2399,36.8708,CDR,2G
subscribers_00001,9/28/2025 10:51,23265,-1.3296,36.8648,CDR,2G
subscribers_00001,9/28/2025 11:30,23265,-1.3296,36.8648,CDR,2G
subscribers_00001,9/28/2025 11:32,23265,-1.3296,36.8648,CDR,2G
subscribers_00001,9/28/2025 14:39,12690,-1.228,36.8063,CDR,2G
subscribers_00001,9/28/2025 15:24,12690,-1.228,36.8063,CDR,2G
subscribers_00001,9/28/2025 17:12,19905,-1.3243,36.8436,CDR,2G
subscribers_00001,9/28/2025 17:19,19905,-1.3243,36.8436,CDR,2G
subscribers_00001,9/28/2025 19:58,19905,-1.3243,36.8436,CDR,2G
subscribers_00001,9/28/2025 20:00,19905,-1.3243,36.8436,CDR,2G
subscribers_00001,9/28/2025 22:15,21271,-1.2687,36.8507,CDR,2G
subscribers_00002,9/22/2025 1:42,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/22/2025 5:38,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/22/2025 8:06,12098,-1.2866,36.8018,IPDR,2G
subscribers_00002,9/22/2025 8:49,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/22/2025 9:24,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/22/2025 10:26,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/22/2025 11:00,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/22/2025 12:11,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/22/2025 13:39,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/22/2025 13:49,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/22/2025 13:51,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/22/2025 14:47,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/22/2025 14:50,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/22/2025 15:39,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/22/2025 17:37,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/22/2025 19:57,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/22/2025 21:11,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/23/2025 1:04,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/23/2025 3:28,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/23/2025 6:07,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/23/2025 6:34,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/23/2025 8:39,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/23/2025 10:28,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/23/2025 11:05,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/23/2025 11:07,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/23/2025 11:13,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/23/2025 11:19,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/23/2025 11:42,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/23/2025 11:48,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/23/2025 11:50,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/23/2025 12:25,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/23/2025 14:39,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/23/2025 16:17,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/23/2025 16:21,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/23/2025 16:32,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/23/2025 17:23,13631,-1.3201,36.8134,CDR,2G
subscribers_00002,9/23/2025 18:44,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/23/2025 19:07,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/23/2025 19:48,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/23/2025 22:22,25915,-1.3091,36.8797,CDR,2G
subscribers_00002,9/24/2025 0:29,25915,-1.3091,36.8797,CDR,2G
subscribers_00002,9/24/2025 3:12,25915,-1.3091,36.8797,CDR,2G
subscribers_00002,9/24/2025 6:48,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/24/2025 8:04,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/24/2025 9:25,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/24/2025 10:08,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/24/2025 10:58,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/24/2025 11:36,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/24/2025 12:33,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/24/2025 12:36,20899,-1.2863,36.8487,CDR,2G
subscribers_00002,9/24/2025 13:38,20899,-1.2863,36.8487,CDR,2G
subscribers_00002,9/24/2025 14:42,20899,-1.2863,36.8487,CDR,2G
subscribers_00002,9/24/2025 15:44,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/24/2025 16:16,16689,-1.2774,36.8269,IPDR,2G
subscribers_00002,9/24/2025 16:44,15717,-1.2846,36.8231,CDR,2G
subscribers_00002,9/24/2025 17:55,31035,-1.2713,36.8988,CDR,2G
subscribers_00002,9/24/2025 19:09,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/24/2025 20:09,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/24/2025 20:12,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/24/2025 21:19,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/24/2025 21:22,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/24/2025 22:39,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/25/2025 0:27,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/25/2025 1:22,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/25/2025 4:53,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/25/2025 9:10,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/25/2025 9:13,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/25/2025 9:30,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/25/2025 11:11,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/25/2025 12:28,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/25/2025 12:30,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/25/2025 12:56,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/25/2025 14:26,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/25/2025 14:29,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/25/2025 15:14,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/25/2025 15:28,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/25/2025 16:32,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/25/2025 17:27,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/25/2025 17:43,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/25/2025 18:50,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/25/2025 18:55,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/25/2025 19:08,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/25/2025 20:00,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/25/2025 20:03,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/25/2025 21:45,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/25/2025 22:58,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/26/2025 2:08,12098,-1.2866,36.8018,IPDR,2G
subscribers_00002,9/26/2025 4:31,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/26/2025 7:36,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/26/2025 9:17,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/26/2025 10:17,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/26/2025 10:32,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/26/2025 11:32,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/26/2025 11:56,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/26/2025 11:58,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/26/2025 12:33,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/26/2025 12:47,27694,-1.2861,36.8855,CDR,2G
subscribers_00002,9/26/2025 13:19,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/26/2025 14:10,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/26/2025 15:02,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/26/2025 15:22,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/26/2025 16:24,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/26/2025 16:49,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/26/2025 17:15,16689,-1.2774,36.8269,CDR,2G
subscribers_00002,9/26/2025 19:04,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/26/2025 19:25,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/26/2025 20:09,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/26/2025 20:42,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/27/2025 1:39,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/27/2025 6:58,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/27/2025 7:53,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/27/2025 9:09,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/27/2025 9:52,19222,-1.2616,36.8395,CDR,2G
subscribers_00002,9/27/2025 10:22,25915,-1.3091,36.8797,CDR,2G
subscribers_00002,9/27/2025 10:27,25915,-1.3091,36.8797,CDR,2G
subscribers_00002,9/27/2025 10:32,23783,-1.2863,36.8684,CDR,2G
subscribers_00002,9/27/2025 10:50,42100,-1.2715,36.829,CDR,4G
subscribers_00002,9/27/2025 11:48,27694,-1.2861,36.8855,IPDR,2G
subscribers_00002,9/27/2025 12:22,27694,-1.2861,36.8855,CDR,2G
subscribers_00002,9/27/2025 13:05,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/27/2025 13:08,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/27/2025 14:41,41845,-1.2849,36.8213,IPDR,4G
subscribers_00002,9/27/2025 15:37,41845,-1.2849,36.8213,IPDR,4G
subscribers_00002,9/27/2025 16:11,41845,-1.2849,36.8213,IPDR,4G
subscribers_00002,9/27/2025 17:06,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/27/2025 18:09,25915,-1.3091,36.8797,CDR,2G
subscribers_00002,9/27/2025 18:14,25915,-1.3091,36.8797,CDR,2G
subscribers_00002,9/27/2025 18:40,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/27/2025 18:54,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/27/2025 19:58,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/27/2025 20:14,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/27/2025 20:20,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/27/2025 20:26,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/27/2025 22:34,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/28/2025 4:55,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/28/2025 6:50,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/28/2025 8:57,7146,-1.2901,36.7458,CDR,2G
subscribers_00002,9/28/2025 9:03,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/28/2025 9:06,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/28/2025 9:49,27694,-1.2861,36.8855,CDR,2G
subscribers_00002,9/28/2025 10:16,27694,-1.2861,36.8855,CDR,2G
subscribers_00002,9/28/2025 11:19,27694,-1.2861,36.8855,CDR,2G
subscribers_00002,9/28/2025 13:35,31533,-1.2851,36.9008,CDR,2G
subscribers_00002,9/28/2025 13:44,25915,-1.3091,36.8797,CDR,2G
subscribers_00002,9/28/2025 14:37,25915,-1.3091,36.8797,CDR,2G
subscribers_00002,9/28/2025 15:09,10377,-1.3176,36.7853,CDR,2G
subscribers_00002,9/28/2025 16:20,10377,-1.3176,36.7853,CDR,2G
subscribers_00002,9/28/2025 16:22,10377,-1.3176,36.7853,CDR,2G
subscribers_00002,9/28/2025 16:28,10377,-1.3176,36.7853,CDR,2G
subscribers_00002,9/28/2025 16:31,9517,-1.2959,36.7749,CDR,2G
subscribers_00002,9/28/2025 16:33,9517,-1.2959,36.7749,CDR,2G
subscribers_00002,9/28/2025 16:44,9517,-1.2959,36.7749,CDR,2G
subscribers_00002,9/28/2025 18:03,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/28/2025 19:20,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/28/2025 20:13,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/28/2025 21:00,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/28/2025 21:08,12098,-1.2866,36.8018,CDR,2G
subscribers_00002,9/28/2025 22:23,12098,-1.2866,36.8018,CDR,2G
subscribers_00003,9/22/2025 2:12,20605,-1.3245,36.8471,CDR,2G
subscribers_00003,9/22/2025 2:15,20605,-1.3245,36.8471,CDR,2G
subscribers_00003,9/22/2025 9:26,9552,-1.2706,36.7753,CDR,2G
subscribers_00003,9/22/2025 10:59,9552,-1.2706,36.7753,CDR,2G
subscribers_00003,9/22/2025 12:49,9552,-1.2706,36.7753,CDR,2G
subscribers_00003,9/22/2025 14:01,9552,-1.2706,36.7753,CDR,2G
subscribers_00003,9/22/2025 15:59,9552,-1.2706,36.7753,CDR,2G
subscribers_00003,9/22/2025 16:27,44007,-1.3281,36.8422,IPDR,3G
subscribers_00003,9/22/2025 17:05,44007,-1.3281,36.8422,IPDR,3G
subscribers_00003,9/22/2025 18:40,44007,-1.3281,36.8422,IPDR,3G
subscribers_00003,9/22/2025 20:16,20605,-1.3245,36.8471,CDR,2G
subscribers_00003,9/22/2025 21:15,20605,-1.3245,36.8471,CDR,2G
subscribers_00003,9/22/2025 21:17,20605,-1.3245,36.8471,CDR,2G
subscribers_00003,9/23/2025 2:51,20605,-1.3245,36.8471,CDR,2G
subscribers_00003,9/23/2025 4:38,20605,-1.3245,36.8471,CDR,2G
subscribers_00003,9/23/2025 5:59,20605,-1.3245,36.8471,CDR,2G
